IP,start,end,duration,activity,activityID,errorcode,description
192.168.220.15,2017-03-15 07:00:19.390555,2017-03-15 07:01:05.941066,0:00:46.550511,browsing,14894,0,---
192.168.220.15,2017-03-15 07:01:05.950529,2017-03-15 07:02:01.266878,0:00:55.316349,printing,14895,0,---
192.168.220.15,2017-03-15 07:02:01.274829,2017-03-15 07:04:43.012109,0:02:41.737280,private,14896,0,---
192.168.220.15,2017-03-15 07:04:43.019843,2017-03-15 07:04:50.802933,0:00:07.783090,browsing,14897,0,---
192.168.220.15,2017-03-15 07:04:50.811700,2017-03-15 07:07:59.177464,0:03:08.365764,copySea,14898,0,---
192.168.220.15,2017-03-15 07:07:59.184163,2017-03-15 07:08:14.248876,0:00:15.064713,printing,14899,0,---
192.168.220.15,2017-03-15 07:08:14.255792,2017-03-15 07:09:23.491442,0:01:09.235650,browsing,14900,0,---
192.168.220.15,2017-03-15 07:09:23.498597,2017-03-15 07:11:11.907747,0:01:48.409150,private,14901,0,---
192.168.220.15,2017-03-15 07:11:11.915692,2017-03-15 07:16:41.491395,0:05:29.575703,browsing,14902,0,---
192.168.220.15,2017-03-15 07:16:41.498196,2017-03-15 07:19:15.903274,0:02:34.405078,browsing,14903,0,---
192.168.220.15,2017-03-15 07:19:15.911364,2017-03-15 07:20:58.129716,0:01:42.218352,browsing,14904,0,---
192.168.220.15,2017-03-15 07:20:58.137310,2017-03-15 07:22:21.145518,0:01:23.008208,browsing,14905,0,---
192.168.220.15,2017-03-15 07:22:21.153275,2017-03-15 07:24:36.254349,0:02:15.101074,break,14906,0,---
192.168.220.15,2017-03-15 07:24:36.262505,2017-03-15 07:24:51.309887,0:00:15.047382,printing,14907,0,---
192.168.220.15,2017-03-15 07:24:51.316179,2017-03-15 07:27:16.417563,0:02:25.101384,break,14908,0,---
192.168.220.15,2017-03-15 07:27:16.425805,2017-03-15 07:28:16.892334,0:01:00.466529,mailing,14909,0,---
192.168.220.15,2017-03-15 07:28:16.897918,2017-03-15 07:45:22.681949,0:17:05.784031,copySea,14910,0,---
192.168.220.15,2017-03-15 07:45:22.689287,2017-03-15 07:58:46.234783,0:13:23.545496,copySea,14911,0,---
192.168.220.15,2017-03-15 07:58:46.241633,2017-03-15 08:31:56.342968,0:33:10.101335,offline,14912,0,---
192.168.220.15,2017-03-15 08:31:56.357061,2017-03-15 08:32:49.445168,0:00:53.088107,copyFiles,14913,0,---
192.168.220.15,2017-03-15 08:32:49.454137,2017-03-15 09:23:19.477605,0:50:30.023468,meeting,14914,0,---
192.168.220.15,2017-03-15 09:23:19.485393,2017-03-15 09:24:09.849565,0:00:50.364172,browsing,14915,0,---
192.168.220.15,2017-03-15 09:24:09.858375,2017-03-15 09:28:05.935995,0:03:56.077620,browsing,14916,0,---
192.168.220.15,2017-03-15 09:28:05.943913,2017-03-15 09:28:55.480553,0:00:49.536640,browsing,14917,0,---
192.168.220.15,2017-03-15 09:28:55.488358,2017-03-15 09:29:10.529015,0:00:15.040657,printing,14918,0,---
192.168.220.15,2017-03-15 09:29:10.534356,2017-03-15 09:34:05.644387,0:04:55.110031,browsing,14919,0,---
192.168.220.15,2017-03-15 09:34:05.651295,2017-03-15 09:35:34.741429,0:01:29.090134,break,14920,0,---
192.168.220.15,2017-03-15 09:35:34.750533,2017-03-15 09:35:41.834570,0:00:07.084037,browsing,14921,0,---
192.168.220.15,2017-03-15 09:35:41.842653,2017-03-15 09:36:46.889804,0:01:05.047151,browsing,14922,0,---
192.168.220.15,2017-03-15 09:36:46.897253,2017-03-15 09:40:07.062516,0:03:20.165263,copySea,14923,0,---
192.168.220.15,2017-03-15 09:40:07.069494,2017-03-15 09:40:57.439934,0:00:50.370440,mailing,14924,0,---
192.168.220.15,2017-03-15 09:40:57.446074,2017-03-15 09:43:33.547047,0:02:36.100973,break,14925,0,---
192.168.220.15,2017-03-15 09:43:33.555960,2017-03-15 09:43:48.745184,0:00:15.189224,printing,14926,0,---
