IP,start,end,duration,activity,activityID,errorcode,description
192.168.200.4,2017-03-15 10:14:00.278847,2017-03-15 10:23:34.868622,0:09:34.589775,private,16692,0,---
192.168.200.4,2017-03-15 10:23:34.875133,2017-03-15 10:27:37.396517,0:04:02.521384,copyFiles,16693,0,---
192.168.200.4,2017-03-15 10:27:37.403239,2017-03-15 10:30:17.588079,0:02:40.184840,browsing,16694,0,---
192.168.200.4,2017-03-15 10:30:17.595722,2017-03-15 10:32:04.238067,0:01:46.642345,browsing,16695,0,---
192.168.200.4,2017-03-15 10:32:04.245524,2017-03-15 10:33:50.220206,0:01:45.974682,browsing,16696,0,---
192.168.200.4,2017-03-15 10:33:50.226441,2017-03-15 10:46:15.980340,0:12:25.753899,copySea,16697,0,---
192.168.200.4,2017-03-15 10:46:15.987254,2017-03-15 10:50:21.088339,0:04:05.101085,break,16698,0,---
192.168.200.4,2017-03-15 10:50:21.096930,2017-03-15 10:55:21.198087,0:05:00.101157,break,16699,0,---
192.168.200.4,2017-03-15 10:55:21.207201,2017-03-15 10:55:49.192489,0:00:27.985288,browsing,16700,0,---
192.168.200.4,2017-03-15 10:55:49.199860,2017-03-15 11:03:14.791840,0:07:25.591980,browsing,16701,0,---
192.168.200.4,2017-03-15 11:03:14.799181,2017-03-15 11:05:02.735382,0:01:47.936201,private,16702,0,---
192.168.200.4,2017-03-15 11:05:02.776113,2017-03-15 11:07:51.828018,0:02:49.051905,private,16703,0,---
192.168.200.4,2017-03-15 11:07:51.835128,2017-03-15 11:12:38.118907,0:04:46.283779,copySea,16704,0,---
192.168.200.4,2017-03-15 11:12:38.125013,2017-03-15 11:16:56.225992,0:04:18.100979,break,16705,0,---
192.168.200.4,2017-03-15 11:16:56.238584,2017-03-15 11:18:03.306749,0:01:07.068165,break,16706,0,---
192.168.200.4,2017-03-15 11:18:03.313868,2017-03-15 11:23:41.875655,0:05:38.561787,private,16707,0,---
192.168.200.4,2017-03-15 11:23:41.905139,2017-03-15 11:26:14.962000,0:02:33.056861,mailing,16708,0,---
192.168.200.4,2017-03-15 11:26:14.968446,2017-03-15 11:28:04.081039,0:01:49.112593,copySea,16709,0,---
192.168.200.4,2017-03-15 11:28:04.087561,2017-03-15 11:47:40.352311,0:19:36.264750,copySea,16710,0,---
192.168.200.4,2017-03-15 11:47:40.359719,2017-03-15 12:29:32.460743,0:41:52.101024,break,16711,0,---
192.168.200.4,2017-03-15 12:29:32.469042,2017-03-15 12:47:23.570070,0:17:51.101028,meeting,16712,0,---
192.168.200.4,2017-03-15 12:47:23.579822,2017-03-15 12:51:16.571141,0:03:52.991319,browsing,16713,0,---
192.168.200.4,2017-03-15 12:51:16.580073,2017-03-15 13:37:33.681115,0:46:17.101042,offline,16714,0,---
192.168.200.4,2017-03-15 13:37:33.689434,2017-03-15 13:41:32.773292,0:03:59.083858,private,16715,0,---
192.168.200.4,2017-03-15 13:41:32.780472,2017-03-15 13:45:28.881552,0:03:56.101080,break,16716,0,---
192.168.200.4,2017-03-15 13:45:28.890191,2017-03-15 13:48:46.988902,0:03:18.098711,browsing,16717,0,---
192.168.200.4,2017-03-15 13:48:46.996335,2017-03-15 13:49:03.405624,0:00:16.409289,browsing,16718,0,---
192.168.200.4,2017-03-15 13:49:03.413372,2017-03-15 13:49:20.874027,0:00:17.460655,browsing,16719,0,---
192.168.200.4,2017-03-15 13:49:20.880991,2017-03-15 13:50:22.678393,0:01:01.797402,private,16720,0,---
192.168.200.4,2017-03-15 13:50:22.685330,2017-03-15 13:53:30.924748,0:03:08.239418,private,16721,0,---
192.168.200.4,2017-03-15 13:53:30.940331,2017-03-15 13:54:26.275096,0:00:55.334765,printing,16722,0,---
192.168.200.4,2017-03-15 13:54:26.282543,2017-03-15 13:55:05.926961,0:00:39.644418,copyFiles,16723,0,---
192.168.200.4,2017-03-15 13:55:05.934265,2017-03-15 14:00:37.196131,0:05:31.261866,browsing,16724,0,---
192.168.200.4,2017-03-15 14:00:37.216587,2017-03-15 14:01:14.937546,0:00:37.720959,private,16725,0,---
192.168.200.4,2017-03-15 14:01:14.945750,2017-03-15 14:05:18.981537,0:04:04.035787,break,16726,0,---
192.168.200.4,2017-03-15 14:05:18.990083,2017-03-15 14:06:43.075062,0:01:24.084979,break,16727,0,---
192.168.200.4,2017-03-15 14:06:43.082118,2017-03-15 14:57:51.168369,0:51:08.086251,meeting,16728,0,---
192.168.200.4,2017-03-15 14:57:51.178387,2017-03-15 14:58:44.023589,0:00:52.845202,private,16729,0,---
192.168.200.4,2017-03-15 14:58:44.031201,2017-03-15 15:13:10.574832,0:14:26.543631,copySea,16730,0,---
192.168.200.4,2017-03-15 15:13:10.582424,2017-03-15 15:22:28.504395,0:09:17.921971,browsing,16731,0,---
192.168.200.4,2017-03-15 15:22:28.511864,2017-03-15 15:30:00.091103,0:07:31.579239,private,16732,0,---
192.168.200.4,2017-03-15 15:30:00.098631,2017-03-15 15:40:00.103218,0:10:00.004587,browsing,16733,-1,---
192.168.200.4,2017-03-15 15:40:00.110296,2017-03-15 16:21:12.115985,0:41:12.005689,meeting,16734,0,---
192.168.200.4,2017-03-16 10:02:24.289712,2017-03-16 10:04:55.035917,0:02:30.746205,private,16735,0,---
192.168.200.4,2017-03-16 10:04:55.042388,2017-03-16 10:06:40.591774,0:01:45.549386,copyFiles,16736,0,---
192.168.200.4,2017-03-16 10:06:40.600245,2017-03-16 10:07:41.578598,0:01:00.978353,private,16737,0,---
192.168.200.4,2017-03-16 10:07:41.590299,2017-03-16 10:37:32.691304,0:29:51.101005,offline,16738,0,---
192.168.200.4,2017-03-16 10:37:32.703521,2017-03-16 10:39:14.583976,0:01:41.880455,browsing,16739,0,---
192.168.200.4,2017-03-16 10:39:14.591575,2017-03-16 10:40:01.676707,0:00:47.085132,browsing,16740,0,---
