IP,start,end,duration,activity,activityID,errorcode,description
192.168.210.5,2017-03-15 06:06:31.109000,2017-03-15 06:10:06.110000,0:03:35.001000,break,22342,0,---
192.168.210.5,2017-03-15 06:10:06.125000,2017-03-15 06:11:57.087000,0:01:50.962000,browsing,22343,0,---
192.168.210.5,2017-03-15 06:11:57.100000,2017-03-15 06:13:18.040000,0:01:20.940000,mailing,22344,0,---
192.168.210.5,2017-03-15 06:13:18.049000,2017-03-15 06:14:36.050000,0:01:18.001000,offline,22345,0,---
192.168.210.5,2017-03-15 06:14:36.065000,2017-03-15 06:18:56.169000,0:04:20.104000,browsing,22346,0,---
192.168.210.5,2017-03-15 06:18:56.182000,2017-03-15 06:19:08.611000,0:00:12.429000,browsing,22347,0,---
192.168.210.5,2017-03-15 06:19:08.621000,2017-03-15 06:23:21.004000,0:04:12.383000,copyFiles,22348,0,---
192.168.210.5,2017-03-15 06:23:21.018000,2017-03-15 06:25:23.685000,0:02:02.667000,private,22349,0,---
192.168.210.5,2017-03-15 06:25:23.697000,2017-03-15 06:27:45.637000,0:02:21.940000,private,22350,0,---
192.168.210.5,2017-03-15 06:27:45.650000,2017-03-15 06:35:46.414000,0:08:00.764000,private,22351,0,---
192.168.210.5,2017-03-15 06:35:46.425000,2017-03-15 06:35:56.458000,0:00:10.033000,printing,22352,0,---
192.168.210.5,2017-03-15 06:35:56.471000,2017-03-15 06:44:02.182000,0:08:05.711000,browsing,22353,0,---
192.168.210.5,2017-03-15 06:44:02.193000,2017-03-15 06:45:33.327000,0:01:31.134000,mailing,22354,0,---
192.168.210.5,2017-03-15 06:45:33.336000,2017-03-15 06:52:01.349000,0:06:28.013000,browsing,22355,0,---
192.168.210.5,2017-03-15 06:52:01.360000,2017-03-15 06:53:42.483000,0:01:41.123000,mailing,22356,0,---
192.168.210.5,2017-03-15 06:53:42.491000,2017-03-15 06:53:53.151000,0:00:10.660000,browsing,22357,0,---
192.168.210.5,2017-03-15 06:53:53.162000,2017-03-15 06:54:42.466000,0:00:49.304000,browsing,22358,0,---
192.168.210.5,2017-03-15 06:54:42.477000,2017-03-15 06:56:39.455000,0:01:56.978000,browsing,22359,0,---
192.168.210.5,2017-03-15 06:56:39.466000,2017-03-15 07:01:28.467000,0:04:49.001000,break,22360,0,---
192.168.210.5,2017-03-15 07:01:28.483000,2017-03-15 07:11:28.522000,0:10:00.039000,private,22361,-1,---
192.168.210.5,2017-03-15 07:11:28.611000,2017-03-15 07:12:39.434000,0:01:10.823000,mailing,22362,0,---
192.168.210.5,2017-03-15 07:12:39.539000,2017-03-15 07:16:33.562000,0:03:54.023000,break,22363,0,---
192.168.210.5,2017-03-15 07:16:33.647000,2017-03-15 07:20:17.659000,0:03:44.012000,browsing,22364,0,---
192.168.210.5,2017-03-15 07:20:17.741000,2017-03-15 07:21:18.519000,0:01:00.778000,mailing,22365,0,---
192.168.210.5,2017-03-15 07:21:18.650000,2017-03-15 07:30:28.659000,0:09:10.009000,offline,22366,0,---
192.168.210.5,2017-03-15 07:30:28.770000,2017-03-15 07:31:30.063000,0:01:01.293000,mailing,22367,0,---
192.168.210.5,2017-03-15 07:31:30.142000,2017-03-15 07:39:01.125000,0:07:30.983000,browsing,22368,0,---
192.168.210.5,2017-03-15 07:39:01.170000,2017-03-15 07:39:34.537000,0:00:33.367000,private,22369,0,---
192.168.210.5,2017-03-15 08:04:45.937000,2017-03-15 08:05:27.875000,0:00:41.938000,copyFiles,22370,0,---
192.168.210.5,2017-03-15 08:05:27.890000,2017-03-15 08:10:12.890000,0:04:45.000000,offline,22371,0,---
192.168.210.5,2017-03-15 08:10:12.906000,2017-03-15 08:13:30.921000,0:03:18.015000,break,22372,0,---
192.168.210.5,2017-03-15 08:13:30.937000,2017-03-15 09:50:07.937000,1:36:37.000000,meeting,22373,0,---
192.168.210.5,2017-03-15 09:50:07.953000,2017-03-15 09:51:29.484000,0:01:21.531000,mailing,22374,0,---
192.168.210.5,2017-03-15 09:51:29.484000,2017-03-15 09:52:41.062000,0:01:11.578000,mailing,22375,0,---
192.168.210.5,2017-03-15 09:52:41.078000,2017-03-15 11:23:32.078000,1:30:51.000000,meeting,22376,0,---
192.168.210.5,2017-03-15 11:23:32.093000,2017-03-15 11:45:19.093000,0:21:47.000000,offline,22377,0,---
192.168.210.5,2017-03-15 11:45:19.109000,2017-03-15 11:46:09.796000,0:00:50.687000,mailing,22378,0,---
192.168.210.5,2017-03-15 11:46:09.796000,2017-03-15 11:51:18.960000,0:05:09.164000,private,22379,0,---
192.168.210.5,2017-03-15 11:51:18.960000,2017-03-15 11:53:44.275000,0:02:25.315000,browsing,22380,0,---
192.168.210.5,2017-03-15 11:53:44.275000,2017-03-15 11:56:43.474000,0:02:59.199000,browsing,22381,0,---
192.168.210.5,2017-03-15 11:56:43.474000,2017-03-15 13:28:08.474000,1:31:25.000000,meeting,22382,0,---
192.168.210.5,2017-03-15 13:28:08.474000,2017-03-15 13:29:49.568000,0:01:41.094000,mailing,22383,0,---
192.168.210.5,2017-03-15 13:29:49.583000,2017-03-15 13:30:40.083000,0:00:50.500000,mailing,22384,0,---
192.168.210.5,2017-03-15 13:30:40.099000,2017-03-15 13:33:43.338000,0:03:03.239000,private,22385,0,---
192.168.210.5,2017-03-15 13:33:43.338000,2017-03-15 13:37:30.338000,0:03:47.000000,break,22386,0,---
192.168.210.5,2017-03-15 13:37:30.354000,2017-03-15 13:39:21.245000,0:01:50.891000,mailing,22387,0,---
192.168.210.5,2017-03-15 13:39:21.260000,2017-03-15 13:40:17.622000,0:00:56.362000,browsing,22388,0,---
192.168.210.5,2017-03-15 13:40:17.637000,2017-03-15 13:41:28.653000,0:01:11.016000,mailing,22389,0,---
192.168.210.5,2017-03-15 13:41:28.668000,2017-03-15 13:48:09.709000,0:06:41.041000,browsing,22390,0,---
192.168.210.5,2017-03-15 13:48:09.709000,2017-03-15 13:49:10.381000,0:01:00.672000,mailing,22391,0,---
192.168.210.5,2017-03-15 13:49:10.381000,2017-03-15 13:50:10.959000,0:01:00.578000,mailing,22392,0,---
192.168.210.5,2017-03-15 13:50:10.959000,2017-03-15 13:54:42.959000,0:04:32.000000,break,22393,0,---
192.168.210.5,2017-03-15 13:54:42.991000,2017-03-15 13:55:33.538000,0:00:50.547000,mailing,22394,0,---
192.168.210.5,2017-03-15 13:55:33.553000,2017-03-15 13:58:24.260000,0:02:50.707000,browsing,22395,0,---
192.168.210.5,2017-03-15 13:58:24.276000,2017-03-15 14:46:31.276000,0:48:07.000000,meeting,22396,0,---
192.168.210.5,2017-03-15 14:46:31.291000,2017-03-15 14:48:13.258000,0:01:41.967000,browsing,22397,0,---
192.168.210.5,2017-03-15 14:48:13.258000,2017-03-15 14:49:03.852000,0:00:50.594000,mailing,22398,0,---
192.168.210.5,2017-03-15 14:49:03.868000,2017-03-15 14:50:28.948000,0:01:25.080000,browsing,22399,0,---
192.168.210.5,2017-03-15 14:50:28.948000,2017-03-15 14:56:43.739000,0:06:14.791000,browsing,22400,0,---
192.168.210.5,2017-03-15 14:56:43.848000,2017-03-15 14:58:17.166000,0:01:33.318000,browsing,22401,0,---
192.168.210.5,2017-03-15 14:58:17.166000,2017-03-15 15:00:08.697000,0:01:51.531000,mailing,22402,0,---
192.168.210.5,2017-03-15 15:00:08.697000,2017-03-15 15:02:22.697000,0:02:14.000000,break,22403,0,---
192.168.210.5,2017-03-15 15:02:22.697000,2017-03-15 15:12:22.724000,0:10:00.027000,private,22404,-1,---
192.168.210.5,2017-03-15 15:12:22.734000,2017-03-15 15:20:25.627000,0:08:02.893000,browsing,22405,0,---
192.168.210.5,2017-03-15 15:20:25.627000,2017-03-15 15:30:25.812000,0:10:00.185000,private,22406,-1,---
192.168.210.5,2017-03-15 15:30:25.826000,2017-03-15 16:10:05.827000,0:39:40.001000,offline,22407,0,---
192.168.210.5,2017-03-15 16:10:05.842000,2017-03-15 16:11:06.812000,0:01:00.970000,mailing,22408,0,---
192.168.210.5,2017-03-15 16:11:06.847000,2017-03-15 16:17:14.269000,0:06:07.422000,browsing,22409,0,---
192.168.210.5,2017-03-15 16:17:14.283000,2017-03-15 16:20:26.286000,0:03:12.003000,break,22410,0,---
192.168.210.5,2017-03-15 16:20:26.302000,2017-03-15 16:23:28.520000,0:03:02.218000,browsing,22411,0,---
192.168.210.5,2017-03-15 16:23:28.532000,2017-03-15 16:24:39.578000,0:01:11.046000,mailing,22412,0,---
192.168.210.5,2017-03-15 16:24:39.587000,2017-03-15 16:34:39.606000,0:10:00.019000,private,22413,-1,---
192.168.210.5,2017-03-15 16:34:39.616000,2017-03-15 16:35:52.733000,0:01:13.117000,copyFiles,22414,0,---
192.168.210.5,2017-03-15 16:35:52.747000,2017-03-15 16:38:31.865000,0:02:39.118000,browsing,22415,0,---
192.168.210.5,2017-03-15 16:38:31.877000,2017-03-15 16:42:49.878000,0:04:18.001000,break,22416,0,---
192.168.210.5,2017-03-15 16:42:49.900000,2017-03-15 16:44:32.677000,0:01:42.777000,mailing,22417,0,---
192.168.210.5,2017-03-15 16:44:32.799000,2017-03-15 16:45:48.802000,0:01:16.003000,offline,22418,0,---
192.168.210.5,2017-03-15 16:45:48.819000,2017-03-15 16:48:17.475000,0:02:28.656000,private,22419,0,---
192.168.210.5,2017-03-15 16:48:17.497000,2017-03-15 16:49:58.554000,0:01:41.057000,mailing,22420,0,---
192.168.210.5,2017-03-15 16:49:58.582000,2017-03-15 16:51:47.046000,0:01:48.464000,private,22421,0,---
192.168.210.5,2017-03-15 16:51:47.077000,2017-03-15 18:45:58.079000,1:54:11.002000,meeting,22422,0,---
192.168.210.5,2017-03-15 18:45:58.095000,2017-03-15 18:54:48.539000,0:08:50.444000,browsing,22423,0,---
192.168.210.5,2017-03-15 18:54:48.550000,2017-03-15 19:03:36.083000,0:08:47.533000,browsing,22424,0,---
192.168.210.5,2017-03-15 19:03:36.098000,2017-03-15 19:05:52.362000,0:02:16.264000,browsing,22425,1,---
192.168.210.5,2017-03-15 19:05:52.380000,2017-03-15 19:06:52.951000,0:01:00.571000,mailing,22426,0,---
192.168.210.5,2017-03-15 19:06:52.960000,2017-03-15 19:07:43.336000,0:00:50.376000,mailing,22427,0,---
192.168.210.5,2017-03-15 19:07:43.349000,2017-03-15 19:09:04.236000,0:01:20.887000,mailing,22428,0,---
192.168.210.5,2017-03-15 19:09:04.248000,2017-03-15 19:11:22.526000,0:02:18.278000,private,22429,0,---
192.168.210.5,2017-03-15 19:11:22.546000,2017-03-15 19:12:53.353000,0:01:30.807000,mailing,22430,0,---
192.168.210.5,2017-03-15 19:12:53.374000,2017-03-15 19:51:35.375000,0:38:42.001000,offline,22431,0,---
192.168.210.5,2017-03-15 19:51:35.406000,2017-03-15 20:29:40.407000,0:38:05.001000,meeting,22432,0,---
192.168.210.5,2017-03-16 06:09:25.614000,2017-03-16 06:10:28.248000,0:01:02.634000,browsing,22433,0,---
192.168.210.5,2017-03-16 06:10:28.270000,2017-03-16 06:53:34.273000,0:43:06.003000,offline,22434,0,---
192.168.210.5,2017-03-16 06:53:34.291000,2017-03-16 06:54:54.995000,0:01:20.704000,mailing,22435,0,---
192.168.210.5,2017-03-16 06:54:55.008000,2017-03-16 06:55:45.435000,0:00:50.427000,mailing,22436,0,---
192.168.210.5,2017-03-16 06:55:45.450000,2017-03-16 07:01:02.451000,0:05:17.001000,offline,22437,0,---
192.168.210.5,2017-03-16 07:01:02.487000,2017-03-16 07:07:18.670000,0:06:16.183000,browsing,22438,0,---
192.168.210.5,2017-03-16 07:07:18.682000,2017-03-16 07:08:19.276000,0:01:00.594000,mailing,22439,0,---
192.168.210.5,2017-03-16 07:08:19.289000,2017-03-16 07:08:49.519000,0:00:30.230000,printing,22440,0,---
192.168.210.5,2017-03-16 07:08:49.530000,2017-03-16 07:17:58.962000,0:09:09.432000,browsing,22441,0,---
192.168.210.5,2017-03-16 07:17:58.973000,2017-03-16 07:18:44.499000,0:00:45.526000,browsing,22442,0,---
192.168.210.5,2017-03-16 07:18:44.513000,2017-03-16 07:22:09.717000,0:03:25.204000,browsing,22443,0,---
192.168.210.5,2017-03-16 07:22:09.736000,2017-03-16 08:08:24.740000,0:46:15.004000,offline,22444,0,---
192.168.210.5,2017-03-16 08:08:24.755000,2017-03-16 08:08:40.148000,0:00:15.393000,browsing,22445,0,---
192.168.210.5,2017-03-16 08:08:40.148000,2017-03-16 08:10:34.164000,0:01:54.016000,break,22446,0,---
192.168.210.5,2017-03-16 08:10:34.179000,2017-03-16 08:13:25.556000,0:02:51.377000,private,22447,0,---
192.168.210.5,2017-03-16 08:13:25.572000,2017-03-16 08:25:19.572000,0:11:54.000000,offline,22448,0,---
192.168.210.5,2017-03-16 08:25:19.587000,2017-03-16 08:35:12.556000,0:09:52.969000,browsing,22449,0,---
192.168.210.5,2017-03-16 08:35:12.572000,2017-03-16 08:35:32.619000,0:00:20.047000,printing,22450,0,---
