IP,start,end,duration,activity,activityID,errorcode,description
192.168.220.7,2017-03-15 07:04:14.960392,2017-03-15 07:05:30.613794,0:01:15.653402,printing,9348,0,---
192.168.220.7,2017-03-15 07:05:30.619205,2017-03-15 07:05:45.667477,0:00:15.048272,printing,9349,0,---
192.168.220.7,2017-03-15 07:05:45.675311,2017-03-15 07:06:00.885292,0:00:15.209981,printing,9350,0,---
192.168.220.7,2017-03-15 07:06:00.892463,2017-03-15 07:06:25.958870,0:00:25.066407,printing,9351,0,---
192.168.220.7,2017-03-15 07:06:25.968625,2017-03-15 07:06:34.154129,0:00:08.185504,browsing,9352,0,---
192.168.220.7,2017-03-15 07:06:34.164722,2017-03-15 07:10:11.331677,0:03:37.166955,private,9353,0,---
192.168.220.7,2017-03-15 07:10:11.338841,2017-03-15 07:11:24.429763,0:01:13.090922,private,9354,0,---
192.168.220.7,2017-03-15 07:11:24.437900,2017-03-15 07:12:22.748753,0:00:58.310853,private,9355,0,---
192.168.220.7,2017-03-15 07:12:22.756723,2017-03-15 07:12:58.869449,0:00:36.112726,browsing,9356,0,---
192.168.220.7,2017-03-15 07:12:58.877272,2017-03-15 07:18:23.091701,0:05:24.214429,browsing,9357,0,---
192.168.220.7,2017-03-15 07:18:23.099092,2017-03-15 07:20:33.526310,0:02:10.427218,browsing,9358,0,---
192.168.220.7,2017-03-15 07:20:33.534351,2017-03-15 07:22:24.689792,0:01:51.155441,mailing,9359,0,---
192.168.220.7,2017-03-15 07:22:24.696693,2017-03-15 07:34:07.048223,0:11:42.351530,copyFiles,9360,0,---
192.168.220.7,2017-03-15 07:34:07.055463,2017-03-15 07:36:51.162654,0:02:44.107191,break,9361,0,---
192.168.220.7,2017-03-15 07:36:51.171973,2017-03-15 07:55:41.189706,0:18:50.017733,meeting,9362,0,---
192.168.220.7,2017-03-15 07:55:41.199183,2017-03-15 07:57:01.974075,0:01:20.774892,mailing,9363,0,---
192.168.220.7,2017-03-15 07:57:01.981188,2017-03-15 07:59:04.960114,0:02:02.978926,browsing,9364,0,---
192.168.220.7,2017-03-15 07:59:04.967946,2017-03-15 08:01:17.904543,0:02:12.936597,private,9365,0,---
192.168.220.7,2017-03-15 08:01:17.912399,2017-03-15 08:02:23.639852,0:01:05.727453,browsing,9366,0,---
192.168.220.7,2017-03-15 08:02:23.646636,2017-03-15 08:04:22.748155,0:01:59.101519,offline,9367,0,---
192.168.220.7,2017-03-15 08:04:22.760687,2017-03-15 08:07:45.847992,0:03:23.087305,browsing,9368,0,---
192.168.220.7,2017-03-15 08:07:45.854946,2017-03-15 08:08:19.402082,0:00:33.547136,browsing,9369,0,---
